"stage","class","parameter","parameter.phenological","soil.layer","direction","include","file","species","species.is.tree","delta","validation.metric.1","validation.metric.2","validation.metric.3","metric.1.error.phenological","metric.2.error.phenological","metric.3.error.phenological","param.min","param.max","old_value","new_value","nrmse_baseline","nrmse_new","nrmse_others_baseline","nrmse_others_new","improvement_pct","status","status_others"
1,"site","vangenuchten_n",FALSE,,"lower",FALSE,"KE_Kapiti_siteparameters.xml",,FALSE,0.075,"r.a.swc.15.cm.osv","r.a.swc.30.cm.osv","r.a.et.osv",,,,0,1000,,,,,,,,,
1,"site","vangenuchten_alpha",FALSE,,"higher",FALSE,"KE_Kapiti_siteparameters.xml",,FALSE,0.075,"r.a.swc.15.cm.osv","r.a.swc.30.cm.osv","r.a.et.osv",,,,0,1000,,,,,,,,,
1,"site","FPERCOL",FALSE,,"lower",FALSE,"KE_Kapiti_siteparameters.xml",,FALSE,0.075,"r.a.swc.15.cm.osv","r.a.swc.30.cm.osv","r.a.et.osv",,,,0,1000,,,,,,,,,
1,"site","FRUNOFF",FALSE,,"higher",FALSE,"KE_Kapiti_siteparameters.xml",,FALSE,0.075,"r.a.swc.15.cm.osv","r.a.swc.30.cm.osv","r.a.et.osv",,,,0,1000,,,,,,,,,
1,"soil","wcmax",FALSE,"5 cm","higher",FALSE,"KE_Kapiti_site_eddy_Vertis_Gachene.xml",,FALSE,0.075,"r.a.swc.5.cm.osv","r.a.swc.15.cm.osv","r.a.et.osv",,,,,,,,,,,,,,
1,"soil","wcmin",FALSE,"5 cm","higher",FALSE,"KE_Kapiti_site_eddy_Vertis_Gachene.xml",,FALSE,0.075,"r.a.swc.5.cm.osv","r.a.swc.15.cm.osv","r.a.et.osv",,,,,,,,,,,,,,
1,"soil","sks",FALSE,"5 cm","higher",FALSE,"KE_Kapiti_site_eddy_Vertis_Gachene.xml",,FALSE,0.075,"r.a.swc.5.cm.osv","r.a.swc.15.cm.osv","r.a.et.osv",,,,,,,,,,,,,,
1,"soil","bd",FALSE,"5 cm","higher",FALSE,"KE_Kapiti_site_eddy_Vertis_Gachene.xml",,FALSE,0.075,"r.a.swc.5.cm.osv","r.a.swc.15.cm.osv","r.a.et.osv",,,,,,,,,,,,,,
1,"soil","wcmax",FALSE,"15 cm","higher",FALSE,"KE_Kapiti_site_eddy_Vertis_Gachene.xml",,FALSE,0.075,"r.a.swc.15.cm.osv","r.a.swc.30.cm.osv","r.a.et.osv",,,,,,,,,,,,,,
1,"soil","wcmin",FALSE,"15 cm","higher",FALSE,"KE_Kapiti_site_eddy_Vertis_Gachene.xml",,FALSE,0.075,"r.a.swc.15.cm.osv","r.a.swc.15.cm.osv","r.a.et.osv",,,,,,,,,,,,,,
1,"soil","sks",FALSE,"15 cm","higher",FALSE,"KE_Kapiti_site_eddy_Vertis_Gachene.xml",,FALSE,0.075,"r.a.swc.15.cm.osv","r.a.swc.15.cm.osv","r.a.et.osv",,,,,,,,,,,,,,
1,"soil","bd",FALSE,"30 cm","higher",FALSE,"KE_Kapiti_site_eddy_Vertis_Gachene.xml",,FALSE,0.075,"r.a.swc.15.cm.osv","r.a.swc.15.cm.osv","r.a.et.osv",,,,,,,,,,,,,,
1,"soil","wcmax",FALSE,"30 cm","higher",FALSE,"KE_Kapiti_site_eddy_Vertis_Gachene.xml",,FALSE,0.075,"r.a.swc.15.cm.osv","r.a.swc.30.cm.osv","r.a.et.osv",,,,,,,,,,,,,,
1,"soil","wcmin",FALSE,"30 cm","higher",FALSE,"KE_Kapiti_site_eddy_Vertis_Gachene.xml",,FALSE,0.075,"r.a.swc.15.cm.osv","r.a.swc.15.cm.osv","r.a.et.osv",,,,,,,,,,,,,,
1,"soil","sks",FALSE,"30 cm","higher",FALSE,"KE_Kapiti_site_eddy_Vertis_Gachene.xml",,FALSE,0.075,"r.a.swc.15.cm.osv","r.a.swc.15.cm.osv","r.a.et.osv",,,,,,,,,,,,,,
1,"soil","bd",FALSE,"30 cm","higher",FALSE,"KE_Kapiti_site_eddy_Vertis_Gachene.xml",,FALSE,0.075,"r.a.swc.15.cm.osv","r.a.swc.15.cm.osv","r.a.et.osv",,,,,,,,,,,,,,
2,"veg.mix","fractionalcover",TRUE,,"lower",FALSE,"KE_Kapiti_events_eddy.xml","themeda_triandra",FALSE,0.075,"r.a.ter.osv","r.a.gpp.osv","","TRUE","TRUE",,,,0.52675,0.48724,79.404,79.404,78.569,78.569,0,"REVERTED","NOT INCREASED"
2,"veg.mix","fractionalcover",TRUE,,"higher",FALSE,"KE_Kapiti_events_eddy.xml","cenchrus_mezianum",FALSE,0.075,"r.a.ter.osv","r.a.gpp.osv","",,,,,,,,,,,,,,
2,"veg.mix","fractionalcover",TRUE,,"higher",TRUE,"KE_Kapiti_events_eddy.xml","indigofera_volkensii",FALSE,0.075,"r.a.ter.osv","r.a.gpp.osv","",,,,,,,,,,,,,,
2,"veg.mix","fractionalcover",TRUE,,"higher",TRUE,"KE_Kapiti_events_eddy.xml","cynodon_dactylon",FALSE,0.075,"r.a.ter.osv","r.a.gpp.osv","",,,,,,,,,,,,,,
2,"veg.mix","treenumber",TRUE,,"lower",FALSE,"KE_Kapiti_events_eddy.xml","vechellia_drepanolobium",TRUE,0.075,"r.a.ter.osv","r.a.gpp.osv","",,,,,,,,,,,,,,
3,"species","wcmin",TRUE,,"higher",FALSE,"KE_Kapiti_speciesparameters_GLOBAL","GRASS.HYBRID.1",FALSE,0.075,"r.a.ter.osv","r.a.gpp.osv","",,,,,,,,,,,,,,
